# Gene Family	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
UniRef90_A0A0H2ZYT3|g__Escherichia.s__Escherichia_coli	90.0	80.0	100.0	70.0	90.0	80.0	100.0	80.0	90.0	90.0	80.0	100.0	70.0	90.0	80.0	100.0	80.0	90.0	90.0	90.0
UniRef90_A0A0H2ZYT4	180.0	170.0	200.0	160.0	190.0	170.0	210.0	170.0	180.0	180.0	170.0	220.0	150.0	200.0	170.0	200.0	170.0	190.0	180.0	200.0
UniRef90_A0A0H2ZYT4|g__Lactobacillus.s__Lactobacillus_reuteri	80.0	70.0	90.0	60.0	80.0	70.0	90.0	70.0	80.0	80.0	70.0	90.0	60.0	80.0	70.0	90.0	70.0	80.0	80.0	80.0
UniRef90_A0A0H2ZYT5	120.0	110.0	140.0	100.0	130.0	110.0	150.0	110.0	120.0	120.0	110.0	160.0	90.0	130.0	110.0	140.0	110.0	130.0	120.0	130.0
UniRef90_A0A0H2ZYT5|g__Akkermansia.s__Akkermansia_muciniphila	50.0	40.0	60.0	40.0	50.0	40.0	60.0	40.0	50.0	50.0	40.0	60.0	30.0	50.0	40.0	60.0	40.0	50.0	50.0	50.0
UniRef90_A0A0H2ZYT6	95.0	90.0	105.0	85.0	100.0	90.0	110.0	85.0	95.0	95.0	90.0	115.0	80.0	100.0	90.0	105.0	85.0	100.0	95.0	100.0
UniRef90_A0A0H2ZYT6|g__Prevotella.s__Prevotella_copri	40.0	35.0	45.0	35.0	40.0	35.0	45.0	35.0	40.0	40.0	35.0	48.0	30.0	42.0	35.0	44.0	35.0	40.0	40.0	42.0
UniRef90_A0A0H2ZYT7	72.0	68.0	78.0	62.0	74.0	69.0	80.0	64.0	70.0	72.0	68.0	84.0	60.0	76.0	69.0	78.0	64.0	74.0	70.0	76.0
UniRef90_A0A0H2ZYT7|g__Bacteroides.s__Bacteroides_vulgatus	30.0	28.0	32.0	26.0	31.0	28.0	33.0	27.0	29.0	30.0	28.0	34.0	25.0	32.0	28.0	32.0	27.0	31.0	29.0	32.0
UniRef90_A0A0H2ZYT8	56.0	53.0	60.0	48.0	57.0	53.0	62.0	50.0	54.0	56.0	53.0	64.0	46.0	58.0	53.0	60.0	50.0	57.0	54.0	58.0
UniRef90_A0A0H2ZYT8|g__Bacteroides.s__Bacteroides_uniformis	23.0	22.0	25.0	20.0	24.0	22.0	26.0	21.0	22.0	23.0	22.0	27.0	19.0	24.0	22.0	25.0	21.0	24.0	22.0	24.0
